,imgmd,imgmn,chisq_md,chisq_mn,mean_md,mean_mn,std_md,std_mn
204,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0209_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0209_mindif.npy,0.0421226893857,0.0693612592307,-63.6840536063,-28.908263501,31.6368278499,15.4624511195
205,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0210_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0210_mindif.npy,0.027026869872,0.022290088181,-10.4486996961,-34.3500185224,20.0824272257,22.0219161497
206,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0211_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0211_mindif.npy,0.047709962312,0.0412253019165,-7.78027778407,-11.5170323907,15.466297075,11.3447948606
207,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0212_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0212_mindif.npy,0.0560475604415,0.898472045982,-22.2501186564,0.0,22.9679889344,1.7605846427
208,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0213_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0213_mindif.npy,0.0376394758131,0.0621962620341,-10.8717774187,-22.9150826772,18.0302703428,16.2687015906
209,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0214_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0214_mindif.npy,0.0548623119695,0.0461457835693,-25.6052587992,-28.9337883268,25.6454971935,18.8187575117
210,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0215_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0215_mindif.npy,0.0639676841419,0.0710028208722,-11.9937526995,-34.5642252362,16.7631588176,18.2853122654
211,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0216_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0216_mindif.npy,0.0376861607756,0.0321012738006,-41.8024429449,-12.8231838509,28.049193011,12.2559938447
212,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0217_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0217_mindif.npy,0.0771887986759,0.0254844724779,-39.9068119797,-23.6787701088,24.2628779822,13.7535417478
213,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0218_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0218_mindif.npy,1.54828300644,0.0635794451491,0.0,0.0,1.91948390102,1.72740604495
214,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0219_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0219_mindif.npy,0.0517770207653,0.0145377305293,-53.5085098945,-13.6665410273,26.8757310542,9.772178926
215,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0220_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0220_mindif.npy,0.060562942075,1.11687660978,-164.799263696,0.0,47.6740336483,1.7070337772
216,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0221_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0221_mindif.npy,0.0554045144703,0.996922243301,-127.312707461,0.0,48.1371517151,1.7490888483
217,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0222_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0222_mindif.npy,0.030473132018,0.01407039458,-33.1327324856,-13.4744001067,24.3054694194,10.9141329076
218,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0223_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0223_mindif.npy,1.12314699017,0.0185840596314,0.0,-16.5097849507,1.8444524311,11.067516698
219,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0224_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0224_mindif.npy,2.00897307476,0.33938733651,0.0,0.0,1.79361989364,1.6785222854
220,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0225_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0225_mindif.npy,0.0311112569413,1.36670232677,-118.531587951,0.0,45.8261911563,1.76236691301
221,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0226_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0226_mindif.npy,0.281308684273,0.0306315826931,0.0,-39.903538639,1.92148033417,16.0864895429
222,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0227_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0227_mindif.npy,0.0678042909987,1.49492570232,-71.7560691184,0.0,36.1134519973,1.70859387096
223,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0228_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0228_mindif.npy,0.0514575718417,1.43509745177,-36.9616435769,0.0,26.5183842503,1.71515401774
224,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0229_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0229_mindif.npy,0.0468182167157,1.27998729221,-129.436163458,0.0,46.0111556193,1.71386098798
225,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0230_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0230_mindif.npy,0.0110095138495,0.0558453727591,-67.5570334634,-21.4183123898,44.691899273,19.361731059
226,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0231_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0231_mindif.npy,0.0514437924944,0.0227480866874,-57.9076197206,-29.7816516228,30.0427036149,13.7425345262
227,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0232_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0232_mindif.npy,0.0184886097577,0.0906414923172,-71.2089583178,-16.6142079601,54.3028605967,21.7323773706
228,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0233_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0233_mindif.npy,0.256063826486,1.49637773665,0.0,0.0,1.84530487271,1.57907006678
229,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0234_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0234_mindif.npy,0.0690301421846,0.0315222390773,-56.9011538974,-99.8710020228,31.7363940853,27.9369088197
230,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0235_median.npy,/projects/projects/project-uo_visible_plumes/workspace/share/plumes/outputs/tmp_0235_mindif.npy,14.7053762899,12.8502116424,0.0,0.0,0.694980374103,0.759223543092
