#image,n_patches,2nd_largest_patch,patch_50+_pix,n_features,mean_patch_size,largest_patch
outputs/tmp_0069_median.npy,18,26,1,1777,2.75,278909
outputs/tmp_0070_median.npy,18,51,2,1754,4.3125,278617
outputs/tmp_0071_median.npy,29,18,1,1929,1.96296296296,277314
outputs/tmp_0072_median.npy,18,19,1,1711,4.0625,278764
outputs/tmp_0073_median.npy,19,7,1,1740,1.52941176471,279071
outputs/tmp_0074_median.npy,21,10,1,1847,1.78947368421,278206
outputs/tmp_0075_median.npy,25,27,1,1807,2.39130434783,277836
outputs/tmp_0076_median.npy,31,5,1,1749,1.41379310345,277364
outputs/tmp_0077_median.npy,15,75,2,1679,7.84615384615,279090
outputs/tmp_0078_median.npy,18,83,2,1577,8.25,279024
outputs/tmp_0079_median.npy,17,81,2,946,8.4,279829
outputs/tmp_0080_median.npy,48,6,1,1920,1.32608695652,274564
outputs/tmp_0081_median.npy,28,41,1,1651,3.30769230769,277655
outputs/tmp_0082_median.npy,50,14,1,1898,1.54166666667,274411
outputs/tmp_0083_median.npy,37,80,2,1521,4.91428571429,277002
outputs/tmp_0084_median.npy,15,168,2,1360,16.9230769231,279216
outputs/tmp_0085_median.npy,26,153,2,1766,7.70833333333,277781
outputs/tmp_0086_median.npy,20,117,3,1629,10.3333333333,278735
outputs/tmp_0087_median.npy,20,79,2,1428,8.72222222222,278880
outputs/tmp_0088_median.npy,18,53,3,1652,8.6875,278805
outputs/tmp_0089_median.npy,21,58,2,1750,4.84210526316,278627
outputs/tmp_0090_median.npy,18,45,1,1858,6.0625,278538
outputs/tmp_0091_median.npy,34,12,1,1778,1.53125,276495
outputs/tmp_0092_median.npy,19,24,1,1644,4.0,278810
outputs/tmp_0093_median.npy,20,17,1,1668,3.55555555556,278899
outputs/tmp_0094_median.npy,48,211,2,1756,8.63043478261,274159
outputs/tmp_0095_median.npy,57,18,1,1759,1.58181818182,273245
outputs/tmp_0096_median.npy,20,33,1,1638,5.88888888889,278835
outputs/tmp_0097_median.npy,37,19,1,1888,1.82857142857,275947
outputs/tmp_0098_median.npy,23,61,3,1747,6.7619047619,278163
outputs/tmp_0099_median.npy,22,54,2,1617,7.3,278415
outputs/tmp_0100_median.npy,20,88,2,1781,7.38888888889,278456
outputs/tmp_0101_median.npy,19,34,1,1713,5.58823529412,278773
outputs/tmp_0102_median.npy,23,24,1,1674,3.33333333333,278491
outputs/tmp_0103_median.npy,28,16,1,1794,2.15384615385,277672
outputs/tmp_0104_median.npy,21,52,2,1636,6.10526315789,278462
outputs/tmp_0105_median.npy,30,18,1,1813,1.92857142857,277579
outputs/tmp_0106_median.npy,28,8,1,1864,1.73076923077,278170
outputs/tmp_0107_median.npy,23,8,1,1618,1.61904761905,278620
outputs/tmp_0108_median.npy,24,15,1,1875,2.09090909091,278106
outputs/tmp_0109_median.npy,22,11,1,1744,1.85,278827
outputs/tmp_0110_median.npy,21,11,1,1784,2.36842105263,278372
outputs/tmp_0111_median.npy,27,12,1,2022,1.92,277690
outputs/tmp_0112_median.npy,26,14,1,1785,1.79166666667,278166
