#image,n_patches,2nd_largest_patch,patch_50+_pix,n_features,mean_patch_size,largest_patch
outputs/tmp_0005_median.npy,13,2,1,300,1.09090909091,281029
outputs/tmp_0006_median.npy,9,7,1,119,1.85714285714,281390
outputs/tmp_0007_median.npy,31,12,1,1925,1.58620689655,276594
outputs/tmp_0008_median.npy,6,2,1,91,1.25,281474
outputs/tmp_0009_median.npy,11,27,1,220,3.88888888889,281160
outputs/tmp_0010_median.npy,22,3,1,766,1.35,279675
outputs/tmp_0011_median.npy,30,64,2,1539,3.60714285714,277322
outputs/tmp_0012_median.npy,25,13,1,804,1.86956521739,279578
outputs/tmp_0013_median.npy,13,41,1,280,6.63636363636,280979
outputs/tmp_0014_median.npy,15,3,1,635,1.23076923077,280318
outputs/tmp_0015_median.npy,9,20,1,318,3.71428571429,281012
outputs/tmp_0016_median.npy,7,1,1,69,1.0,281479
outputs/tmp_0017_median.npy,5,1,1,60,1.0,281503
outputs/tmp_0018_median.npy,12,4,1,220,1.4,281176
outputs/tmp_0019_median.npy,7,1,1,145,1.0,281368
outputs/tmp_0020_median.npy,6,17,1,50,5.5,281482
outputs/tmp_0021_median.npy,7,5,1,61,1.8,281492
outputs/tmp_0022_median.npy,5,1,1,86,1.0,281470
outputs/tmp_0023_median.npy,11,9,1,292,2.11111111111,281057
outputs/tmp_0024_median.npy,10,10,1,265,2.5,281139
outputs/tmp_0025_median.npy,9,2,1,58,1.14285714286,281488
outputs/tmp_0026_median.npy,7,4,1,54,1.6,281503
outputs/tmp_0027_median.npy,7,9,1,76,2.6,281459
outputs/tmp_0028_median.npy,9,3,1,92,1.57142857143,281413
outputs/tmp_0029_median.npy,11,68,2,173,8.66666666667,281145
outputs/tmp_0030_median.npy,7,5,1,58,3.8,281465
outputs/tmp_0031_median.npy,10,49,1,77,10.5,281279
outputs/tmp_0032_median.npy,14,12,1,250,2.5,281028
outputs/tmp_0033_median.npy,8,8,1,74,2.83333333333,281440
outputs/tmp_0034_median.npy,9,19,1,85,3.71428571429,281413
outputs/tmp_0035_median.npy,8,9,1,66,3.16666666667,281428
outputs/tmp_0036_median.npy,146,767,14,3133,26.8125,223463
outputs/tmp_0037_median.npy,10,9,1,120,2.5,281385
outputs/tmp_0038_median.npy,30,12,1,1153,1.67857142857,278110
outputs/tmp_0039_median.npy,10,3,1,137,1.25,281377
outputs/tmp_0040_median.npy,11,11,1,317,3.44444444444,280962
outputs/tmp_0041_median.npy,10,11,1,294,2.5,281076
outputs/tmp_0042_median.npy,22,7,1,884,1.55,279405
outputs/tmp_0043_median.npy,6,21,1,72,6.25,281452
outputs/tmp_0044_median.npy,48,42,1,2432,2.19565217391,272901
outputs/tmp_0045_median.npy,12,22,1,164,3.2,281235
outputs/tmp_0046_median.npy,8,20,1,71,4.5,281418
outputs/tmp_0047_median.npy,17,2,1,273,1.2,280976
outputs/tmp_0048_median.npy,8,18,1,43,4.16666666667,281474
outputs/tmp_0049_median.npy,6,9,1,66,3.5,281477
outputs/tmp_0050_median.npy,15,10,1,355,2.23076923077,280911
outputs/tmp_0051_median.npy,9,4,1,54,1.57142857143,281481
outputs/tmp_0052_median.npy,9,2,1,131,1.28571428571,281376
outputs/tmp_0053_median.npy,9,27,1,63,5.0,281422
outputs/tmp_0054_median.npy,10,9,1,51,3.125,281435
outputs/tmp_0055_median.npy,9,10,1,83,2.57142857143,281418
outputs/tmp_0056_median.npy,8,4,1,75,1.83333333333,281456
outputs/tmp_0057_median.npy,7,3,1,79,1.6,281465
outputs/tmp_0058_median.npy,9,19,1,73,4.0,281424
outputs/tmp_0059_median.npy,12,17,1,143,2.7,281303
outputs/tmp_0060_median.npy,30,4,1,1111,1.32142857143,278423
outputs/tmp_0061_median.npy,11,10,1,142,2.66666666667,281299
outputs/tmp_0062_median.npy,13,1,1,195,1.0,281210
outputs/tmp_0063_median.npy,11,11,1,89,2.44444444444,281385
outputs/tmp_0064_median.npy,12,8,1,145,2.1,281314
outputs/tmp_0065_median.npy,11,3,1,72,1.55555555556,281425
outputs/tmp_0066_median.npy,8,2,1,97,1.33333333333,281441
outputs/tmp_0067_median.npy,10,13,1,128,3.0,281329
outputs/tmp_0068_median.npy,21,6,1,828,1.52631578947,279550
outputs/tmp_0069_median.npy,6,4,1,75,1.75,281492
outputs/tmp_0070_median.npy,8,3,1,122,1.33333333333,281408
outputs/tmp_0071_median.npy,12,9,1,442,1.9,280745
outputs/tmp_0072_median.npy,9,6,1,93,2.0,281418
outputs/tmp_0073_median.npy,6,11,1,61,3.5,281482
outputs/tmp_0074_median.npy,10,1,1,210,1.0,281238
outputs/tmp_0075_median.npy,15,7,1,294,1.84615384615,280982
outputs/tmp_0076_median.npy,17,2,1,416,1.26666666667,280647
outputs/tmp_0077_median.npy,8,3,1,42,1.66666666667,281513
outputs/tmp_0078_median.npy,10,6,1,62,2.5,281430
outputs/tmp_0079_median.npy,11,10,1,82,4.22222222222,281329
outputs/tmp_0080_median.npy,57,16,1,2479,1.61818181818,271556
outputs/tmp_0081_median.npy,18,3,1,348,1.125,280789
outputs/tmp_0082_median.npy,62,45,1,2858,3.16666666667,268968
outputs/tmp_0083_median.npy,24,26,1,523,3.13636363636,280066
outputs/tmp_0084_median.npy,10,57,2,52,10.875,281295
outputs/tmp_0085_median.npy,13,58,2,238,6.54545454545,280986
outputs/tmp_0086_median.npy,9,40,1,84,7.14285714286,281337
outputs/tmp_0087_median.npy,11,22,1,100,5.11111111111,281293
outputs/tmp_0088_median.npy,9,19,1,60,5.0,281411
outputs/tmp_0089_median.npy,8,3,1,116,2.0,281394
outputs/tmp_0090_median.npy,7,1,1,102,1.0,281441
outputs/tmp_0091_median.npy,24,5,1,816,1.45454545455,279435
outputs/tmp_0092_median.npy,7,9,1,109,2.8,281392
outputs/tmp_0093_median.npy,10,11,1,98,3.375,281376
outputs/tmp_0094_median.npy,74,295,4,2801,10.3472222222,265842
outputs/tmp_0095_median.npy,126,941,11,3859,22.7983870968,228414
outputs/tmp_0096_median.npy,11,15,1,87,2.88888888889,281378
outputs/tmp_0097_median.npy,29,19,1,1213,1.96296296296,278055
outputs/tmp_0098_median.npy,13,27,1,193,4.27272727273,281141
outputs/tmp_0099_median.npy,12,12,1,168,4.8,281162
outputs/tmp_0100_median.npy,8,13,1,138,4.66666666667,281336
outputs/tmp_0101_median.npy,9,2,1,94,1.14285714286,281441
outputs/tmp_0102_median.npy,11,4,1,185,1.33333333333,281250
outputs/tmp_0103_median.npy,14,7,1,379,2.0,280893
outputs/tmp_0104_median.npy,10,8,1,147,2.75,281303
outputs/tmp_0105_median.npy,16,3,1,377,1.28571428571,280801
outputs/tmp_0106_median.npy,10,3,1,182,1.375,281251
outputs/tmp_0107_median.npy,13,8,1,168,1.63636363636,281234
outputs/tmp_0108_median.npy,10,5,1,198,1.625,281249
outputs/tmp_0109_median.npy,10,7,1,81,1.875,281404
