image,n_patches,largest_patch,patch_50+_pix,n_features,mean_patch_size,sdx_largest,sdy_largest,sdx_2nd_largest,sdy_2nd_largest,center_X_largest,center_Y_largest,center_X_2largest,center_Y_2largest
outputs/tmp_0005_median.npy,25,4,1,1628,1.3043478260869565,0.99635130396648375,3.7452710383741916,1.1561724325884748,3.728509851708282,208.32258064516128,23.806451612903224,265.14285714285717,854.75
outputs/tmp_0006_median.npy,17,3,1,1678,1.2,1.4623625252052426,1.6290302674254906,1.2934953397310009,1.2697197980857704,79.578947368421055,328.36842105263156,128.89473684210526,79.578947368421055
outputs/tmp_0007_median.npy,33,14,1,2033,1.5806451612903225,6.2577951388648057,2.3833589742210468,5.921489948473825,1.9913005242247539,123.8,143.13999999999999,117.86111111111111,148.41666666666666
outputs/tmp_0008_median.npy,17,30,1,1622,4.1333333333333337,1.9005243869327952,3.4312159113622505,1.3666633071248098,2.4588439727394902,79.555555555555557,343.52380952380952,76.36363636363636,494.78787878787881
outputs/tmp_0009_median.npy,27,24,1,1539,2.2400000000000002,2.7386408843632077,1.9987684727896302,1.576922646213053,2.276159025238051,131.28070175438597,74.929824561403507,79.424242424242422,347.69696969696969
outputs/tmp_0010_median.npy,32,3,1,1621,1.2666666666666666,0.99967121485220145,5.0249868752711127,1.5898986690282426,2.6262856933718912,251.64102564102564,106.07692307692308,217.83333333333334,300.36111111111109
outputs/tmp_0011_median.npy,34,55,2,1829,3.3125,9.3749731417206323,1.0599960283183421,5.3726171269595797,2.0815475581130474,226.0841121495327,63.429906542056074,211.01923076923077,6.884615384615385
outputs/tmp_0012_median.npy,35,5,1,1680,1.4848484848484849,1.0246950765959599,4.5270741102835945,2.2375858425761548,4.7611107574901341,271.69999999999999,996.15999999999997,253.40425531914894,587.72340425531911
outputs/tmp_0013_median.npy,22,229,2,1613,14.050000000000001,6.4689764301254371,5.1976586701248655,2.2275340967912003,2.2558022177100141,126.14539007092199,31.904255319148938,131.98113207547169,76.924528301886795
outputs/tmp_0014_median.npy,26,8,1,1755,1.625,8.4492603226554692,0.82310388165771631,0.92255516541884752,4.55772456227837,229.09999999999999,63.149999999999999,272.86842105263156,500.73684210526318
outputs/tmp_0015_median.npy,24,12,1,1845,1.6363636363636365,2.2039873554459581,1.3834036640075378,0.56000000000000005,4.6640754710874912,127.29729729729729,77.756756756756758,273.07999999999998,497.92000000000002
outputs/tmp_0016_median.npy,15,19,1,1607,2.3846153846153846,1.9364916731037085,1.8495670946197114,1.5951108733329016,1.5689290811054724,128.75,78.78125,110.38461538461539,143.0
outputs/tmp_0017_median.npy,14,2,1,1672,1.25,0.78062474979979979,2.1496729402399799,1.4079141387961918,1.1075498483890767,35.625,377.4375,132.46666666666667,156.80000000000001
outputs/tmp_0018_median.npy,22,4,1,1639,1.1499999999999999,0.70217914776469659,3.2776600732161896,0.67823299831252692,2.6570660511172846,96.583333333333329,290.91666666666669,174.80000000000001,724.79999999999995
outputs/tmp_0019_median.npy,18,8,1,1598,1.625,4.8247760205872794,0.64363508136973202,2.6929681695717962,0.99025724853825148,113.4074074074074,287.25925925925924,104.10526315789474,307.42105263157896
outputs/tmp_0020_median.npy,16,22,1,1529,2.5,1.9002923751652301,2.1074529709322953,0.62678317052800869,2.3829753310874682,129.0,75.944444444444443,265.5,855.5
outputs/tmp_0021_median.npy,13,6,1,1551,1.4545454545454546,1.2779741754353195,1.0910139406465535,1.3792547806696194,1.0288798520721456,133.88235294117646,71.529411764705884,132.1875,77.0625
outputs/tmp_0022_median.npy,14,10,1,1687,1.75,4.5645055311393428,0.85280286542244177,0.9574271077563381,1.2133516482134197,129.27272727272728,40.0,254.5,530.16666666666663
outputs/tmp_0023_median.npy,22,5,1,1614,1.3,1.5475986974649021,1.640535895581489,0.41659779045053091,5.4370932924747919,130.77777777777777,75.555555555555557,201.90909090909091,444.27272727272725
outputs/tmp_0024_median.npy,19,21,1,1649,2.5882352941176472,2.4605529841184728,2.3772585102784589,3.6429154990657322,1.1110243021644486,130.88888888888889,75.355555555555554,231.75,801.375
outputs/tmp_0025_median.npy,17,6,1,1479,1.4666666666666666,1.1795356492391771,1.8619663569881613,0.87249393965831334,2.698198809689345,132.0,90.521739130434781,246.05882352941177,473.88235294117646
outputs/tmp_0026_median.npy,15,3,1,1576,1.3076923076923077,1.4229164972072998,1.3252067157640626,0.70433922934904025,2.3048861143232218,133.55555555555554,71.277777777777771,31.5625,476.75
outputs/tmp_0027_median.npy,17,7,1,1546,1.6666666666666667,1.9368735864637185,1.6249715518675083,1.2986146464598343,1.8973665961010275,133.30769230769232,91.884615384615387,132.56,73.599999999999994
outputs/tmp_0028_median.npy,17,6,1,1541,1.8,4.4914885492178538,0.48838551182776224,1.3787046261911911,1.3613617392610851,121.57142857142857,141.60714285714286,133.90909090909091,76.681818181818187
outputs/tmp_0029_median.npy,23,142,2,1400,8.0,5.0932002072614626,3.1743673325414146,0.95724799876445077,2.4845199749997664,151.98816568047337,178.98224852071007,182.4814814814815,630.11111111111109
outputs/tmp_0030_median.npy,16,109,2,1493,9.7857142857142865,6.3374277880133647,4.5790450810438967,1.4831595288004529,2.0992043110654377,146.84057971014494,226.72463768115941,133.27586206896552,74.724137931034477
outputs/tmp_0031_median.npy,18,97,2,1399,9.8125,7.0609201592025004,1.8652748108986643,2.1990445263362584,2.7394222551218763,166.53164556962025,239.83544303797467,134.98360655737704,256.34426229508199
