,X,img130,img131,img132,img133,img134,img135,img136,img137,img138,img139,img140,img141,img142,img143,img144,img145,img146,img147,img148,img149,img150,img151,img152,img153,img154,img155,img156,img157,img158,img159
0,0.67578125,5.0567067069,5.40421774451,6.23112895369,5.04553029513,5.37658790552,5.85497488667,5.60663069036,5.81515852492,5.6324157842,5.39534212176,5.06146755849,5.83482683024,5.76778865817,5.40006976967,5.36904321888,5.39958027756,5.38396967462,5.64234183204,5.35394891232,5.82423911335,5.62999947182,5.04937697638,6.24024913198,5.70177429068,5.63698809998,5.6332542855,5.34939798619,6.13527230312,6.36799291593,6.16262712678
1,2.02734375,5.51613857672,5.90308672977,6.39096141114,5.75889146343,5.88228484144,6.25748825941,6.07880107203,6.22944991782,6.09793131413,6.05288661976,5.77371405654,6.24231030624,6.27444143412,5.89959509214,5.87287212261,5.89923923106,6.04705708129,6.1072466117,6.02059742822,6.31640714766,6.20963295505,5.51803858799,6.42279495698,6.14149022205,6.21474002867,6.21263179631,6.01866222582,6.42187396091,6.36946392831,6.36251809901
2,3.37890625,5.75411736421,6.05003852898,5.97761296039,6.00676972825,6.03622954409,6.23640146026,6.22092358624,6.17185686864,6.14719292202,6.17043305185,6.01799898776,6.17545063673,6.11871763793,6.0477003843,6.02688692953,6.17330808696,6.16857909022,6.15360970699,6.15036801001,6.19215944863,6.13028229351,5.96321625974,5.89133615261,6.12937114229,6.21349119383,6.13163855035,6.14941896533,6.01824558246,5.72430536785,5.99697024107
3,4.73046875,5.85402533005,6.03165240863,5.21479882738,6.03666721377,6.02364088682,5.82758830387,5.96559911268,5.92391618821,6.01335806564,5.9608411731,6.04427706607,5.91341538983,5.92466687599,6.13799115783,6.12751103017,5.99677733358,5.96044984718,6.01522810566,6.05632006505,5.78208904303,6.03605850946,5.87363792199,5.09022982816,5.94623850416,5.97626788179,6.03507375104,5.95505002852,5.32320464498,4.94555228462,5.4809722465
4,6.08203125,5.87130900979,6.01278957619,4.5242532813,5.95923463423,6.01557391542,5.46584813011,5.79618218116,5.62180026149,5.7836978121,5.89974556102,5.96126680906,5.5464822035,5.54039955701,5.86184016122,5.86573510916,5.86125414973,5.90405901042,5.77362702819,5.85367570574,5.44312211235,5.70428438936,6.02679588628,4.4184173087,5.68701499474,5.62235910906,5.63841137648,5.91363639095,4.69380606419,4.3078595806,5.04599541875
5,7.43359375,5.83480205405,5.66615466859,3.97529391536,5.80925930791,5.68387339334,4.85921637919,5.37059265054,5.10195317748,5.49413510601,5.61853862468,5.80554571255,5.1258909683,5.11299354804,5.67016789579,5.68925645642,5.76171063687,5.62338059293,5.47152786782,5.49604078667,4.94691382601,5.24289656973,5.76225005853,3.81164202145,5.47262189955,5.19665693248,5.37945237331,5.65787583744,3.9976484549,3.84929654083,4.75164086534
6,8.78515625,5.76011173108,5.43596215716,3.44886084561,5.61736734318,5.46525938718,4.41079409885,5.13120791113,4.71737088624,5.17506801488,5.28920755125,5.60668010854,4.6970112687,4.91306643494,5.43896931374,5.56911630011,5.35911422041,5.29278089591,5.13154488576,5.36269919092,4.42584385466,4.95953744547,5.65904864579,3.36172783602,5.12401161473,4.75095557272,4.94909712511,5.26758704394,3.44059426184,3.37566361396,4.5309037348
7,10.13671875,5.80623900688,5.17264087195,3.03261876085,5.25249380098,5.21933561306,3.83815618475,4.71082790901,4.37114177845,4.83627979768,4.84036960363,5.23259464695,4.35410843915,4.67375793655,5.26430061031,5.16251362635,5.094624834,4.84976327326,4.77394726501,5.04493154615,4.15463695952,4.48048124406,5.67795534339,3.04844180355,4.91952785128,4.23837232903,4.46399744589,5.12540643698,2.9795483747,3.03662889536,4.33980906522
8,11.48828125,5.46856147047,4.96661567666,2.74036268949,5.22881597364,5.04189775221,3.50324577147,4.53063505551,4.07693157456,4.50562472833,4.64235568567,5.19912411462,3.91030416807,4.40907043756,4.79628979795,4.91320965704,4.89382276977,4.65913624087,4.42592530065,4.74099393158,3.84676995354,4.23248786635,5.31826373233,2.60422605308,4.7484283735,3.98672695933,4.20477093629,4.81523230037,2.60422605308,2.62013605497,4.15500183623
9,12.83984375,5.32094971458,4.49166979351,2.34242268082,4.97591868063,4.59905297322,3.04375512697,4.20365829946,3.90211172345,4.20930049516,4.26266462468,4.92625496144,3.63124078024,4.33457437175,4.50665383057,4.65771540287,4.42017036573,4.30224432095,4.10578259781,4.4564571343,3.58240429802,3.88371820196,5.29408026011,2.26245108973,4.59385072577,3.63093611906,3.78915749191,4.42615326822,2.28555730901,2.27875360095,4.02624718148
